Ulasan,label_sentimen
kualitas bahan warna sangat bagus,positive
sangat tegang urus jual respons tepat waktu belum laku mesan telah jual susah ajak ngobrol tidak terlalu bantu lanjut hati hati saran ada jual jangan mes jual,negative
sesuai pesan ukuranya m pas badan warna kalem bahan adem,positive
barang bagus,positive
jahitanya tidak kuat label lepas jahitanya,negative
plastik cat,neutral
keren design bahan kaos mantap,positive
ukuranya tidak konsisten,negative
kualitas produk bagus nyaman pakai model keren,positive
ukurn l nya besar mana lengan panjang harus permak dulu,negative
bagus euyy cocok ukuranya baik a,positive
ukuranya pas,neutral
ukuranya sesuai sama badan bahan 16s nyaman,positive
ukuranya kemeja tidak sesuai biasa kali tiga pesan kemeja jenis ukuranya s toko tapi yang kok ukuranya s nya lebih besar 2 pesan belum malah ukuranya m,neutral
kaos putih tipis benar,positive
ukuranya pas,neutral
barang kurang bagus,neutral
ukuranya pas,neutral
ukuranya pas tinggi badan tinggi badan 171 180 cuma berat badan 80 kg kalau lubang gesper bagi belakang 2 lebih mantap overall nyaman terimakasih,positive
1 terlalu mahal 2 kurir rekomendasi problematik lamatidak sesuai tentu waktu 3 proses kirim pesan ke ekspedisi lama 4 aktif admin layan keluh ekspedisi rekomendasi minim,negative
lipat ankle nya nyata terlalu kasartidak rapi jadi tampak sekali kalau adalah celana panjang lipat lalu jahit tepi jadi menggelumbung saran lebih baik potong rapi lalu libat rapi jahit rapi tampak elegan,positive
bagus rhodey,positive
kirim lama order tanggal 2 kirim tanggal 4 nyampenya tanggal 9 padahal jakarta depok,negative
model keren pas badan nyaman waktu pakai aktivitas bahan tebal tidak gerah kok,positive
bagus sih bahan oke rapih,positive
bahan tebal mudah an tidak panas jahitanya lumayan rapih sisa benang tidak potong dirapihkan pakai 2 kali saku lubang jahitanya lepas jahitanya pinggir luar mulai lepas mungkin kalau tarik bakal lubang,positive
sesuai,positive
lebar panjang tidak sesuai deskripsi,negative
ukuranya pas,neutral
mantaps,neutral
bahan jelek kurang banget moga manfaat baik produk depan,positive
ukuranya pas,neutral
kancing karat,neutral
gila harga 170 dapat kayak 50rb parah banget jahitanya tidak rapi ada belum jahit wkwkwk beli online gin wkwkwk maaf bintang 2 emng sesuai sama celana nya wkwkw,negative
baru beli langsung pakai masa jebol resleting nya,neutral
barang rusak rantai rusak peniti nya rusak kayak mana pakai nya reminder rekam belum buka paket buat jadi bukti kembali barang rusak gais,negative
cacat sedikit benang keluar mohon cek bila kirim,negative
barang datang tidak sesuai pesan mau komplain proses nya lama mungkin mau tutup toko nya jadi kirim asal2an,negative
lumayan adem bagus,positive
pernah beli bahan ini tidak awet suka model sama bahan tidak worth it,positive
bahan kurang kawan takut kalau gesek apa2 langsung bekas,negative
sesuai harga,positive
mngsud cukup sedikit kecewa kualitas celana jeans harga segitu jadi mohon maaf kasih b3 mungkin depan baik untuk kualitas kontrol,positive
barang bagus warna tidak mudah luntur bahan adem pas bad,positive
banyak benang2 keluar jahitanya kurang rapi,negative
just dont expect kan much for the price you pay,neutral
ukuranya pas berat badan 70 tinggi 168 beli ukuranya 32,neutral
packaging ala kadar kayak beli toko abal2 padahal official store,neutral
kancing lepaass,neutral
leting nya jebol,neutral
asli nya sangat beda di foto bahan nerawang tidak terlalu liat formal,positive
yah dapat kosong padahal model bahan ukuranya sip banget perlu dada pakai besok jadi tidak minta kembali next perhati kualitas kontrol nya,neutral
harga 100k build quality nya kurang,negative
barang sih bagus kirim lama banget,positive
ukuranya pas tinggi badan 171 180 cuma berat badan 60 kg,neutral
bahan sih oke sizingnya kacau xl bawah panjang banget lengan pendek sempit,negative
bahan sangat kasar beda satu,negative
bahan tipis,neutral
bagus selalu andal tb 175 bb 65kg,positive
baik,positive
ukuranya pas tinggi badan 160 170 cuma berat badan 60 kg,neutral
ukuranya xl nya terlalu ngepass cenderung kecil bahan biasa banget,negative
biasa kualitas,negative
beli 2 dua2nya lgsg copot,neutral
mf turunin bintang nya nyata saya cek lengan baju tidak sama sayang sekali harga diskon,positive
ukuranya pas,neutral
akhir juga oke ukuranya harga nya bagus,positive
ukuranya pas sesuai pesan 2 kali dong beli,positive
jelek banget bahan kayak baju sekolah ncok gambar kancing hitam pas putih jelek rasa,negative
warna ukuranya semua pas bahan cukup nyaman bawa giat butuh pakai formal,positive
ukuranya pas,neutral
produk keren keren,positive
packing cuma pakai kantong kresek,negative
model keren pakai tambah pede merah menyalaaaa,positive
kurang bagus tidak presisi,neutral
tidak sesuai alas stok kosong tidak mau panjang lebar iya terima harus update lah kalau stok kosong,negative
tipis barang cina rebranding,neutral
bukan kalep,neutral
pesan dtg tidak sesuai gambar,negative
lumayan lah cacat sedikit kaya stok lama,neutral
lingkar pesak nya sempit,neutral
ukuranya 34 lebih sempit sekarang dulu order pas,neutral
jahit tidak terlalu bagus lumayan baik tingkat biar lebih baik banyak jahitanya ngasal kayak bukan jahitanya garmen kaget,positive
bahan ok kurang jahit kurang rapih banyak benang gantung di potong,negative
varian 3 inch kok 2 inch iya,negative
beli beberapa kali sini selalu puas,positive
jahit rapi mantapp,positive
warna tidak cocok sama sekali,negative
harga tidak banding kualitas,neutral
barang salah kirim kirim kemeja polos mana bahanya kasar panas mau balikin malas rumit balikin lebih baik bintang satu maaf iya kali lebih teliti tapi juga salah sih saya tidak lihat rating ulas dulu nyata dapat rating rendah,positive
bagus pakai bahan bagus,positive
ukuranya pas tinggi badan 171 180 cuma,neutral
official store packing kaki lima pesan 6 dilipet jadi satu ditaro plastik,neutral
ukuranya pas,neutral
lumayan,positive
bagus tidak kecewa poko baik,positive
bahan baju mantap sesuai ekspektasi,positive
mantap,positive
beli karena suka sama bahan beli memang sengaja upsize sih ok banget,positive
buat kasar banget potong pabrik kali iya badan yang panjang tulang belakang lebih panjang kaos ini kayak lengan oebar pas panjang panjang,negative
bahan bagus,positive
ukuranya pas,neutral
biasa,negative
ukuranya pas tinggi badan 171 180 cuma berat badan 80 kg,neutral
sipppp,positive
ukuranya pas,neutral
top,positive
ukuranya terlalu kecil,negative
respon service layan sangat buruk order tanggal 13 januari tidak pernah waspada buat lain kalau mau order sini,negative
bahan celana tipis banget kalau memang harga serius rp475000 sih overated untung beli nya harga 190an jadi so so lah,positive
pesan 4 bulan initidak pernah kecewa selalu pas,negative
1 kualitas kemeja jahitanya nya kurang 2 kualitas cuff link stud nya kurang finishing kasar harga rupiah 290000set kualitas tidak lebih baik yang harga rupiah 88000set toko foto nyata beda jauh,positive
ukuranya terlalu kecil tinggi badan 171 180 cuma berat badan 71 80 kg,negative
bagus,positive
karet lengan nya cepat longgar,positive
rusak,negative
jahitanya rapih lain bagus overall oke,positive
harga sesuai kualitas,positive
ukuranya terlalu besar beda wsrna 1 nya oadahal ukuranya sama entah seperti naik 1 ukuranya,positive
admin ramah kirim cepat mantap,positive
barang tidak sesuai deskripsi pas mau minta refund malah lempar sana sini tobat lah belanja sini,negative
5 pasang order 1 sesuai order saya kalau varian memang tidak sedia bisa check out kecewa layan kalau kualitas barang cukup baik,positive
bahan nya sekarang jadi tipis,neutral
barang bagus ukuranya pas bahan oke jahitanya rapi cuma seller kurang cepat packing asaln tingkat layan,positive
ukuranya pas,neutral
lihat foto produk,neutral
seller responsive kirim tanggap barang sesuai iklan rekomendasi seller,positive
nc,neutral
ukuranya pas sesuaiwkt pesan pertama pas ukuranya 34,neutral
ukuranya kurang besar,negative
sorry kasih bintang 3 benar produk layan toko tidak kendala kirim yang kecewa,positive
overall bahan bagus sesuai ekspektasi tidak sesuai ekspektasi warna iklan hitam kirim bukan warna hitam,positive
ukuranya pas,neutral
barang bagus harga segitu datang cepat,positive
kualitas barang,neutral
sesuai deskripsi mantap anjay gurih enyoy,positive
tipis banget bahan,negative
produk tidak konsisten dulu pernah order nomor 36 pas sekarang order nomor sama besarrr banget pinggang paksa tidak saya pakai kurang muas jadi tidak mau order sini,neutral
nice bahan adem ngeunah lah,neutral
kualitas biasa sajaaa,negative
gede sedikit tempat ikat pinggang aneh depan tidak jadi rada aneh,negative
bahan bagus sesuai foto packaging rapi proses cepat,positive
mantap,positive
cuttingan oke banget baru kali nemuin celana chino semi formal pas banget cuttingannya buat badan gemuk,positive
tidak true to ukuranya,neutral
reorder toko mantap alias bagus sesuai expetasi,positive
pesan m dateng l barang tidak sesuai pesan,negative
salah ukuranya 1 celana sayang sekali,positive
tipis banget material,negative
model cakep ukuranya pas bahan kirim packing cakep,neutral
tidak bulan lem tidak kuat,negative
seller tidak kompromi cuma mau ganti ukuranya tidak dibolehin padahal cuma malas sellernya tidak mau rumit beli banyak tidak bonus apaapa stiker satu biji tidak beda sama toko belah,negative
buat adminnya kalau dimintain saran ukuranya dipikirin bener2 ukuranya disaranin nyata jauh lebih besar ukuranya harus pas buat oke kalau misal salah sepenuh karena ceroboh pilih ukuranya kalau mungkin masih kasih bintang 45 ini salah tidak cuma di adminnya kasih saran salah barang gabakal kepake jadi cukup bintang 3 lah iya salah saya juga sih terlalu ngandelin admin,neutral
jahit tidak bagus yang warna abu2,negative
keren,positive
ukuranya pas,neutral
maaf harga 170rb sangat kurang sekali bahan tipis tidak lapis furing malah kasih furing bagi kepala terus kualitas resleting kurang tidak ykk sering nyangkut,negative
kaos nya bagus tidak kasar jahitanya rapi,positive
tipis nerawang,neutral
biasa ekspetasinya wah padahal,positive
jahitanya tidak rapih kancing celana tidak lubang,neutral
bahan bagus tebal tidak panas warna bagus,positive
kurang slim fit yang jabar,negative
bagus ukuranya pas berat badan 80 kg,positive
ribsnyaa lebar,neutral
waktu kacamata lensa nya satu tidak cari ketemu kotak kacamata langsung complaint dan minta kirim kacamata alamat jual yang benar salah siapa kok saya yang bayar ongkir jual jadi hati2 kalau beli kacamata seller dan tokopedia sama sekali tidak bantu,positive
alam buruk biar tuhan balas hati hati belanja sini,negative
model keren jadi macho,positive
kain bahan bagus tebal,positive
memang tidak bakal gagal sih cuma sedikit gede tks,negative
bahan nya tipis,neutral
syukur kualitas mantap,positive
ukuranya pas,neutral
bahan sangat tipis beda produk belum bahan lebih tebal,negative
tipiiiiissss,negative
kaos mantap,positive
bahan nya beda banget sama di deskripsi gambar iklan bahan tembus pandang tipis kasar tidak sesuai harga kaya barang 30rban,negative
cuttinganya kurang bagus nyata,neutral
ukuranya pas tinggi badan 160 170 cuma paling suka sama model bahan adem,positive
ukuranya kecil pesan l ukuranya asli nya ukuranya m,positive
ukuranya terlalu kecil berat badan 60 kg,negative
toko tidak rekomendasi,neutral
worth it lah harga segitu dapat kualitas baik,positive
terawang bahan tidak lembut,negative
prasangka tidak tembub pandah nyata sedikit nerawang saya salah pesan,negative
sudah ulas celana satu point is ukuranya seam foot lenght can find better with this price really disappointed,neutral
harga gin kualitas lumayan bagus,positive
ukuranya cukup besar tinggi badan 160 170 cuma berat badan 71 80 kg,positive
kurang bagus tidak sesuai harga,negative
barang bagus,positive
pesan 2 inch 3 inch kirim 2 inch semua hitam kirim bukan instan ukuranya sama semua kasih notes pilih sesuai varian kecewa kacau,negative
mantapp sekali sesuai sama ukuranya,positive
kain bagi saku tipis malah lubang sana rogoh saku peluang sobek tinggi banget tipis kirim lama,positive
tinggi badan 160 170 cuma ukuranya pas berat badan 74 dulu kualitas jangan ragu distro satu,neutral
produk hitam kayak barang bekas tusuk sudah bengkok tidak lurus paling parah bahwa tusuk sangat tumpul kain kaos biasa tidak nusuk kain jas yang tebal sangat kecewa harga 100rban tidak standar kualitas sama sekali,negative
very far from expectation jahitanya ancur2an kualitas kain tidak banget fitting sama ukuranya kacau banget ukuranya biasa pakai kecil banget situ fitting kata slim fit jatohnya skinny fit,negative
model keren bahan adem ukuranya pas tinggi badan 160 170 cuma,positive
barang sampai selamat model keren sip,positive
produk bagus ukuranya presisi sesuai pandu ukuranya harga sesuai ekspedisi jt super cepat padahal reguler,positive
pas bad keren,positive
jahit rapi mantapp,positive
ringan stretch,neutral
enak bahan nya,positive
tidak sesuai barang pesan,negative
nyaman pakai kualitas produk bagus bahan adem tidak terawang ukuranya sesuai model keren warna mantap jahit rapi kancing tidak mudah lepas produk sesuai foto,positive
kirim lama padahal pakai next day,negative
tggi 179 berat kurleb 73 ketat bahan jahitanya lumayan jahitanya branding kurang,neutral
bagus sih warna sama gambar,positive
pesan warna sport grey kok datengnya black,negative
bahan bagus jahitanya kurang banget,positive
bahan tipis tidak lentur lalu tidak jahitanya samping badan,neutral
longgar kaki,neutral
mantap,positive
kirim cepat kualitas produk bagus,positive
barang oke 3x belanja sini tidak kecewa,positive
pesan ukuranya m warna putih item pas kok warna putih semua,negative
bahan tipis sleting tidak sesuai gambar poko kaya barang kw,negative
ukuranya pas lebih oke,positive
kualitas sesuai harga yabesi kepala ikat pinggang tipis banget moga awet kulit sintetis jangan harap terlalu banyak,positive
tali nya panjang,neutral
ukuranya celana tidak konsisten ukuranya 31 ukuranya 29 belum beli ukuranya 30 tidak kecil ukuranya 31,negative
ukuranya pas,neutral
barang jelek,negative
luar ekspetasi hargaternyata bahan tidak enak panas,negative
beli ukuranya l kado ultah teman nyata l nya kecil sekali beda visual foto produk,negative
good,neutral
sipp mantap,positive
lama mau beli eh tau diskon mantap,positive
rekomendasi sellerthank you,neutral
sesuai harga,positive
barang super keren sih beli,positive
build quality murah pakai sekali masa lepas semua jahit,positive
tinggi belah kualitas kancing tidak bagus beli tiga kuning hijau putih ini paling buruk,negative
jahitanya lepas,neutral
bagus,positive
sablon jelek banget,negative
bagus lahcepet pesan senen rabu sampai kualitas bangus,positive
tipis buat harga segitu,neutral
keren puas banget,positive
lumayan sesuai harga,positive
model datang tidak sama yang pes finishing warna kurang jadi serasa bahan plastik,negative
lubang kancing lubang,neutral
kaos tipis banget pakai,negative
bahan celana tipis kurang puas,negative
bagus bahan,positive
lubang kancing belum lubang kualitas kurang,negative
great texture inside outside but i am highly disappointed by the crooked stitching unacceptable amount of huge loose threads this is a kualitas kontrol travesty,neutral
ukuranya pas,neutral
harga lumayan mahal kecil banget kayak ukuranya anakanak padahal kepala golong kecil,negative
another local pride lini percelanaann cuttingnya asyik benar cuma buat mau beli saran buat upsize 1 nomor nomor biasa pakai biar lebih keren,positive
jahitanya nya lepas,neutral
pas badan,neutral
bahan bagus nyaman,positive
layan house of cuff memang kurang sekali layan pelang layan sangat buruk tangan keluh klien,negative
payah kalau mau kirim konfirmasi dulu sama beli benar apa tidak jangan asal kirim bener2 payah,positive
ukuranya pas bahan lembut,positive
baju tipis,neutral
cocok la harga,positive
warna varian kirim sama gambar dasar sendiri cenderung warna blue black kualitas oke bagus pakai,positive
ukuranya pas berat badan 71 80 kg,negative
tau sih kalau beli harga diskon bukan arti kirim barang reject bagi kerah kuning,neutral
kirim super duper lama seller lambat response kayak robot bales pakai template sisa benang dimana2 lobangin kait kancing sendiri mikir2 belanja sini,positive
lama tidak beli kaos sini eh kecewa banget dengn cuttingsizingnya sekarang kaos ukuranya s lingkar leher kok iya besar banget,neutral
jelek,negative
warna kuning beda liat dari warna tulis merknya halaman hitam di barang datang warna putih,neutral
kantong celana belakang lubang semua jahitanya celana tidak kuat mau lepas jahitanya celana bagi samping jadi kuat jahitanya di tukang jahitanya lubang bagi kancing di lubang buat produk celana seperti,neutral
kualitas bahan sangat bagus nyaman pakai,positive
kecil,neutral
ukuranya pas,neutral
bagus,positive
ukuranya pas kualitas oke,positive
model bagus cuma salah estimasi nomor sedikit longgar pinggang tetap nyaman kena thanks,negative
baru coba langsung robek,negative
ukuranya pas,neutral
warna d jahitanya kurang sesuai selera,negative
kayak kacamata kucing kualitas tidak banget harga segitu ukuranya kecil baik beli 15rban jalan,positive
kulitas oke overall jahitanya rapih,positive
harga kualitas kurang cocok,negative
bahan adem jahitanya bagus,positive
ukuranya pas tinggi badan 160 170 cuma,neutral
makasih kak barang sampai kayak nya lama baru ngeh lupa kasih ulas sempet salah ukuranya di return dan pilih ukuranya nya kualitas nya bagus rekomendasi sih mungkin ku pesan,neutral
kualitas biasa biasa kirim lama,negative
ukuranya pas tinggi badan 160 170 cuma berat badan 60 70 kg,neutral
bahan nya adem,neutral
ukuranya terlalu kecil,negative
ukuranya pas tinggi badan 160 170 cuma berat badan 71 80 kg,neutral
ukuranya pasbarang good banget,neutral
sedikit kecewa barang duterima tidak sesuai,negative
toko sama merek sama ukuranya beda,neutral
ukuranya pas,neutral
ukuranya pas bagus,positive
beda warna gambar yang kirim,neutral
terima kasih barang sampai benarkualitas cuma sempat kembali barang salah kirim barang depan lebih perhati order barang nya,neutral
barang asli pakai guna top seller,positive
jahitanya kurang rapi,neutral
bahan nya halus lembut enak banget pakai tidak mudah kusut jugaa,positive
bahan kasar,negative
bahan nya bagus seller responsif sayang banget beberapa bagi celana nya yang robek sedikit kayak kena benda tajam,positive
bahan oke respon cepat kirim cepat sayang pakai 2 minggu jahitanya bagi pinggang saku lepas,positive
terlalu panjang 23 cuma,positive
ukuranya pas tinggi badan 171 180 cuma,neutral
untuk harga nya sayang kancing nya banyak terlalu keras ada pecah,negative
ukuranya pas,neutral
ukuranya terlalu besar,positive
nyata ukuranya nya lebih besar yang biasa kerah baju nya terlalu tipis,positive
ukuranya pas berat badan 60 kg,negative
lumayan bagus,positive
layan benah,neutral
warna off whitenya tidak beda sama warna krem masuk depan warna offwhite lebih sesuai gambar,positive
mantap,positive
model bahan enak pakai sesuai deskripsi,positive
sumpah pas barang datang aman2 pas barang pakai kancing ketika copot dong pantesan murah kualitas jelek banget,negative
tidak kasih plastik cuma kuwel2,negative
barang bagusga sobekaman bahannyapackaging mantaptapii bukan brand housecoffjadi toko cuma dar naro tag celana beli tau item merek kenkaiyang biru abu tidak merekpengiriman lama bangetniat pakai lebaran ehh nyampenya tidak tau kapanmodel gambar cuma pancing ajabiasa marketingyaa kalau mau penasaran silah beli,negative
keren semua produk selalu tampil beda harga amat sahabat rekomen banget,positive
sesuai pesan,positive
ukuranya topi sangat kecil,negative
jahitanya rapi lumayan harga nya,positive
kualitas barang,neutral
jadi beli bijak smart,positive
tidak sesuai gambar etalase,negative
kain terlalu tipis ringan otomatis celana liat pikir segi aspek user memang ringan fabriknya cukup ganggu kalau kain terlalu tipis apalg warna putih tinggi badan 171 174 cuma cukup okay berat badan 67 kg bagi paha ketat,neutral
produk baik sesuai deskripsi,positive
kualitas barang saya paling bagus pasar harga gin customer servicenya buruk,positive
besi tipis,neutral
berat badan 60 70 kg puas banget mantap tinggi badan 160 170 cuma,positive
ukuranya 34 tidak sesuai kecil ajjjjj,negative
ukuranya pas bagus,positive
proses kirim cepat barang sesuai material nya bagus,positive
tipis banget sangkut sedikit robek selap tidak worth it harga,negative
bahan nya gerah kaku keras,negative
mantap barang cuma kirim sedikit lambat tks,positive
model keren anak sukaaaa,positive
ukuranya pas,neutral
maroon ny jelek,negative
bagus pokok e,positive
ekspektasi tentang produk terlalu tinggi kain tipis banget,positive
sablon kasar sekali lihat gampang kelupas tidak sesuai gambar bos bahan kaos jelek tipis kasar,negative
lebar panjang tidak sesuai deskripsi,negative
warna tidak sesuai pudar bagi pinggang nglupas kualitas jelek,negative
kirim tidak sesuai gambar,negative
packing plastik mohon baik bbrpa bagi packing sobek mungkin sangkut,positive
warna beda pes cream datang warna cokelat kecewa sih soal ngebayangin kalau warna cream bagus banget,positive
barang salah kirim kalau stok habis iya konfirmasi dulu kayak tidak sopansopannya,negative
cutting nya masalah kerut sisi ketiak lingkar leher terlalu kecil kancing leher tidak sih kancing kan,negative
warna biru tua bukan biru muda foto,neutral
ukuranya pas buat ukuranya 29 bahan halus warna sesuai,positive
sesuai harga,positive
ukuranya nya tidak sesuai beli 2 celana d ukuranya 34 sesuai cuma 1 bagaimana seller,positive
barang dateng beda yang pes,neutral
model keren celana pas badan bahan nyaman pakai buat aktivitas dalam luar ruang kirim super ngebut ukuranya pas,positive
ukuranya pas,neutral
barang tidak sesuai yang pes,negative
mantap tidak ngecewain barang dua kali beli toko makasih seller,positive
100 mantaaasappp,neutral
ukuranya pas sesuai deskripsi rapi packing rapi,positive
jual memang tidak amanah sayang sekali brand nya di percaya banyak orang jual tulul prasangka cuma nyesel tidak baca komen kirim salah minta biru muda kirim denim haiss sudah,positive
bb 70 tb 165 ukuranya l pas bahan 810 jahitanya 610 zipper 610 harga 200an timpal deh,neutral
cuttingan nya aneh banget badan pas di tangan besar banget tidak sesuai jadi kurang nyaman pakai,positive
kualitas model kirim cepat,positive
bahan kasar,negative
asyik keren bagus cool trendi top kewl mantap,positive
kancing celana lubang,neutral
ukuranya pas tinggi badan 160 170 cuma,neutral
kualitas barang bagus ukuranya pas bb 56 kg tb 179 cuma ukuranya l bahan jahitanya rapi nyaman pakai sablon houseofcuff sesuai display respon jual cepat ramah kirim kurir golong cepat wilayah jabodetabek overall puas harga produk dapat,positive
sesuai deskripsi foto ukuranya pas kerja cuma kurang bantal bawah tas,positive
kualitas kurang bangetbahan terlalu tipiscuttingnya turut kurang la,negative
benar barang bagus saja peniti bros nya karat,positive
kirim reguler rasa next day sampai hari mungkin jarak cukup dekat ukuranya serasa pas sengaja dilebihin 1 banding biasa siapa tau gemuk depan,positive
kualitas lumayan ukuranya pas tinggi badan 160 170 cuma berat badan 60 70 kg,neutral
kualitas barang tidak bagus,negative
bahan adem ukuranya sesuai min,positive
sablon terlalu tipis,negative
beli 2 kali ukuranya sama yang kali ukuranya lebih kecil kirim agak lama,negative
ikat pinggang retak retak mau putus,neutral
keren sih celana overall bagus hari hari,positive
ukuranya pas,neutral
bahan bukan stretch lubang kancing lubang proses terima order kirim barang cenderung lambat,negative
nyata serius biasa pakai 42 kalau sini 1 panjang pas kain tipis terimakasih ukuranya 43 bb 101 tb 174 lp 116 pas,positive
model keren,positive
model keren sipp,positive
selalu keren bahan enak moga harga tidak naik tetap ekonomis,positive
ukuranya pas bahan lumayan saja telat 3 hari,negative
beda beda banget pokok kurang pas deh,negative
ukuranya pas,neutral
ukuranya pas,neutral
mantap banget,positive
benar mau aku kasih bintang 1 salah kirim warna barang minta krem kirim warna coklat pakai bilang kirim warna krem jauh banget loh boro2 minta maaf aku salah kirim barang tidak mau padahal tidak niat minta dituker aku salah kalian,neutral
jahitanya kurang rapi beberapa bagi bagi lubang kacing tidak dibolongin kalau buat kurang praktis,negative
warna tidak sesuai ekspektasi,negative
tidak capek belanja terus sini saya capek buat ulas,neutral
noda kotor,negative
dengan kondisi baik ontime produk tidak jauh ekspektasi terimakasih,positive
tebal tidak serap keringat,neutral
tidak sesuai gambar tidak kotakkotak tidak pentulnya,negative
sempit paha,neutral
bahan lumayan tebal jahitanya rapi,positive
ukuranya tidak sesuai tabel iya gmana beli harga promo no kembali ukuranya 36 label benar lingkar pinggang harus 91 nyata 100cm lebih,positive
ukuranya pas,neutral
ukuranya pas,neutral
ukuranya pas tinggi badan 160 170 cuma,neutral
bahan tipis benang sisa jahitanya tidak buang celana kantong belakang jahit jadi tidak pakai mohon tingkat kualitas harga lumayan toko official,positive
mantap,positive
ukuranya pas,neutral
mantap,positive
pesan sampai terima kasih,positive
bahan kaos kayak kaos partai terimakasih,neutral
sesuai halus,positive
overall bagus ko bahan enak ukuranya pas tidak panas kualitas bagi kantong nya perlu tingkat bahan celana kantong nya terlalu pendek jadi kalau ukuranya nya bener2 pas liat bahan putih nya even pakai kondisi diri beli varian hitam sih bahan kantong nya better info jual itu semua mungkin varian warna coklat mungkin baik lebarin bahan celana kantong ganti warna kantong sesuai warna celana auto bintang 5 deh kalau kantong nya hasil improve,negative
bahan tebel bagus lembut tidak panas,positive
barang baru second kotor begini payah banget siii banyak kotor lain,negative
khusus kaos putih bahan tipis banget nyesel beli nya,negative
fabrics should be better ukuranya is clearly stated but its tidak common in main retail stores your l is way smaller than what i usually find,neutral
bahan tapi kancing gampang patah admin kurang ramah,neutral
ukuranya pas,neutral
ukuranya celana tidak sesuai banget wkwkwk benar tidak masuk tidak tau selisih berapa cuma,positive
packing lama,negative
bahan bagus model keren ukuranya nya pas pokok next order,positive
xl nya kecil nyata,neutral
banyak tidak rapi,negative
cuttingan panjang kaki lebih,neutral
bahanya kurang,negative
barang sesuai lapak pesan cuma ukuranya lenceng sama ukuranya chart jadi gede untung di kembali ukuranya office warehousenya dichat langsung adminnya mumpung lokasi dekat rumah hehe overall worth it,positive
layan admin lama kurang responsif,negative
bahan sedkit kurang bagus,neutral
kepala sabukgesper terima beda gambar,neutral
ukuranya pas berat badan 80 kg 4 celana chino beli sini pas bagus semua,positive
kecewa bahan tipis kayak 30s warna hitam tidak benar hitam,negative
cakep,neutral
mantap barang bagus kirim cepat,positive
ukuranya sesuai bahan sablon bagus well done,positive
barang datang foto laapak beda jauh complain tanya mau ganti yang sesuai gambar tidak malah tidak jawab,positive
ukuranya sesuai,positive
barang sesuai deskripsi sangat bagus,positive
lumayan,positive
ukuranya pas,neutral
bagus jahitanya rapi bahan cocok,positive
sepatu aman sesuai iya cukup bagus bagus,positive
bahan enak timbang harga tidak terlalu mahal admin nya respon cepat,negative
tidak pernah salah beli celana the best bahan,positive
ukuranya terlalu kecil,negative
oke kalau lihat harga,positive
warna tidak sesuai sama foto kata abu muda dateng abu gelap kocak,positive
barang sih bagus gambar sama deskripsi sesuai,positive
produk terima sesuai yang pes deskripsi barang,positive
bahan lembut jahitanya rapi,positive
lumayan sesuai harga,positive
kecewa bahan kurang bagus lihat murah banyak bekas lipat tidak hilang sudah setrika jahit kurang banget banyak bekas benang jahitanya tidak potong desain memang bagus kalau bahan kayak gin sih baik beli baju,neutral
ukuranya pas berat badan 80 kg,negative
bagus,positive
bahan enak ukuranya pas cuma pas leher kecil,positive
sebelumya sempet beli celana chino bagus sayang jeans kurang jahitanya g rapi yang kantong malah jahit resleting jahit ulang,positive
ukuranya pas cepat respon jual detail jelas makasih banyak iya sukses selalu,positive
cutting kurang,negative
qualitas bahan kurang bagus,neutral
cuttingannya jelek tiap baju beda2,negative
good,neutral
kaos andal buat seharihari hampir 17an tahun,neutral
good,neutral
bagus barang,positive
sesuai gambar bagus nyaman,positive
ukuranya pas tinggi badan 160 170 cuma ukuranya l,neutral
pas diunboxing megang bahan kayak bukan katun mirip bahan kanvas panas kalau pakai kecewa sih bukan kayak bahan katun sesuai deskripsi,neutral
x beli saku lubang padahal di kasih tau,neutral
ukuranya pas,neutral
order 2pcs baju lengan panjang ukuranya 2xl lapak sama datang barang warna coklat made in bangladesh warna grey made in indonesia kualitas bahan lebih bagus bangladesh model kerah beda bangladesh model lebih kecil yang indonesia lebih lebar,positive
kirim cepatrabu beli hari kamis tapi baru pakai ngantor kamis jumat keluar benangnyareview tulis hari sabtu,negative
minta tukar ukuranya sulit suruh tunggu lebaran banyak pesan lebaran tidak dibolehin tukar sudah lewat 3 hari,negative
sesuai slimfit pas body bahan tebal jahitanya rapih,positive
bahan tipis jahitanya tidak rapi pas baru sudah kotor,negative
mantaaaapp pas enakeun pas,positive
topi kirim tidak sesuai pesan salah ulang pesan belum demikian jelas jual tidak profesional sangat sangat sangat sangat sangat sangat kecewa buat kapok sekapok2nya,negative
request kirim hari karena darurat buat besok bantu kirim 30 menit langsung keren banget seller kualitas barang oke bahan nyaman tidak gerah thanks seller,positive
ukuranya pas kain lumayan mudah2an tidak mudah luntur warna jahitanya bagus,positive
sangat kecewa,negative
gede xl lebih besar 2xl iya,positive
bagus sesuai gambar,positive
kantong celana kecil g ngantongin hp besar,positive
model keren ukuranya nya passs 34 bb 72 tb 176 sesuai bahan bagus jadi langgan,positive
ukuranya nya tidak sesuai beli 2 celana d ukuranya 34 sesuai cuma 1 bagaimana seller,positive
material kualitas rendah saku mudah robek jahitanya celana renggang,negative
bahan sih biasa nama katun yang nyaman lah pakai sizenya sesuai order sellernya mantap banget soal responnya gas pol banget berat badan 71 80 kg tinggi badan 160 170 cuma ukuranya pas,positive
ukuranya terlalu pas bahan,neutral
